Market,Max Trades, Backtest Period,Total Trades,Total Profit, Avg Profit, Drawdown, Wins, Draws, Loses, Win Rate, Win Day,Avg Duration, Avg Dur_Win, Avg Dur_Lose, Market Change, Left total trades, Left avg profit, Left total profit, Left avg duration, Left win, Left draws, Left lose, Left Win Rate 
USDT200, 10,20211001_20211101,338,25.55%,0.68, 40.68%,261, 0, 77, 77.2,23/1/7,1:24:00, 0:54:00, 3:08:00,37.44%,0,0.00, 0.00, 0:00,0,0, 0, 0
USDT200, 10,20210901_20211001,407,10.55%,0.28, 147.41%,298, 0, 109, 73.2,21/1/8,1:26:00, 0:50:00, 3:02:00,-13.11%,0,0.00, 0.00, 0:00,0,0, 0, 0
USDT200, 10,20210801_20210901,358,50.01%,1.14, 21.89%,298, 0, 60, 83.2,25/1/5,1:24:00, 0:59:00, 3:27:00,55.72%,0,0.00, 0.00, 0:00,0,0, 0, 0
USDT200, 10,20210701_20210801,412,23.53%,0.52, 59.98%,302, 0, 110, 73.3,24/2/5,1:44:00, 1:07:00, 3:23:00,22.17%,0,0.00, 0.00, 0:00,0,0, 0, 0
USDT200, 10,20210601_20210701,410,2.88%,0.08, 125.64%,269, 0, 141, 65.6,22/1/7,1:39:00, 0:54:00, 3:04:00,-22.67%,0,0.00, 0.00, 0:00,0,0, 0, 0
USDT200, 10,20210501_20210601,1000,51.83%,0.44, 290.91%,754, 0, 246, 75.4,23/0/8,1:08:00, 0:36:00, 2:44:00,-34.38%,0,0.00, 0.00, 0:00,0,0, 0, 0
USDT200, 10,20210401_20210501,811,112.11%,0.95, 128.43%,658, 0, 153, 81.1,26/0/4,0:59:00, 0:35:00, 2:46:00,27.93%,0,0.00, 0.00, 0:00,0,0, 0, 0
USDT200, 10,20210301_20210401,834,152.82%,1.11, 22.05%,682, 0, 152, 81.8,29/0/2,1:04:00, 0:40:00, 2:51:00,136.52%,0,0.00, 0.00, 0:00,0,0, 0, 0
USDT200, 10,20210201_20210301,1218,271.9%,1.09, 64.54%,1016, 0, 202, 83.4,26/0/2,0:53:00, 0:32:00, 2:40:00,81.74%,0,0.00, 0.00, 0:00,0,0, 0, 0
USDT200, 10,20210101_20210201,1034,168.0%,0.96, 76.26%,837, 0, 197, 80.9,29/0/3,1:03:00, 0:40:00, 2:45:00,92.61%,2,-3.02, -1.60, 4:48:00,1,0, 1, 50.0
USDT200, 10,20201201_20210101,506,40.72%,0.68, 43.3%,381, 0, 125, 75.3,23/1/8,1:30:00, 0:58:00, 3:09:00,6.6%,1,-3.39, -0.48, 0:50:00,0,0, 1, 0
USDT200, 10,20201101_20201201,552,39.53%,0.61, 48.37%,402, 0, 150, 72.8,24/0/6,1:25:00, 0:48:00, 3:03:00,45.88%,0,0.00, 0.00, 0:00,0,0, 0, 0
