Market,Max Trades, IS,HO Return,HO Sharpe Ratio,HO Win Rate,OOS,Total Trades,Total Profit, Avg Profit, Drawdown, Wins, Draws, Loses, Win Rate, Win Day,Avg Duration, Avg Dur_Win, Avg Dur_Lose, Market Change, Left total trades, Left avg profit, Left total profit, Left avg duration, Left win, Left draws, Left lose, Left Win Rate 
USDT200, 10,20210701_20211001,119.06%,13.00553,545/192/38, 20211001_20211101,111,4.82%,0.43, 24.81%,84, 13, 14, 75.7,15/5/7,0:44:00, 0:25:00, 1:16:00,34.01%,0,0.00, 0.00, 0:00,0,0, 0, 0
USDT200, 10,20210601_20210901,101.03%,12.22561,476/253/42, 20210901_20211001,211,39.18%,1.58, 45.31%,178, 18, 15, 84.4,16/7/5,1:21:00, 0:39:00, 5:01:00,-12.78%,0,0.00, 0.00, 0:00,0,0, 0, 0
USDT200, 10,20210501_20210801,178.58%,11.21466,738/191/51, 20210801_20210901,55,8.68%,1.52, 24.24%,44, 7, 4, 80.0,18/3/3,1:09:00, 0:45:00, 3:10:00,52.76%,0,0.00, 0.00, 0:00,0,0, 0, 0
USDT200, 10,20210401_20210701,192.30%,13.52369,808/161/147, 20210701_20210801,103,5.11%,0.49, 25.0%,65, 26, 12, 63.1,13/6/4,1:19:00, 0:43:00, 2:22:00,19.24%,0,0.00, 0.00, 0:00,0,0, 0, 0
USDT200, 10,20210301_20210601,272.22%,16.18489,1375/278/240, 20210601_20210701,176,17.39%,0.92, 16.57%,132, 34, 10, 75.0,19/6/2,0:40:00, 0:21:00, 1:26:00,-27.83%,0,0.00, 0.00, 0:00,0,0, 0, 0
USDT200, 10,20210201_20210501,652.63%,23.26990,1474/266/200, 20210501_20210601,631,36.97%,0.59, 267.26%,453, 45, 133, 71.8,21/1/7,0:28:00, 0:18:00, 0:34:00,-36.0%,0,0.00, 0.00, 0:00,0,0, 0, 0
USDT200, 10,20210101_20210401,3210.43%,28.96671,1945/739/25, 20210401_20210501,281,61.66%,1.72, 43.63%,231, 37, 13, 82.2,27/2/1,1:10:00, 0:27:00, 7:33:00,25.89%,0,0.00, 0.00, 0:00,0,0, 0, 0
USDT200, 10,20201201_20210301,1701.91%,27.08585,1676/261/22, 20210301_20210401,279,61.82%,1.73, 24.92%,250, 15, 14, 89.6,26/2/1,0:55:00, 0:30:00, 4:59:00,131.05%,1,0.92, 0.15, 0:15:00,1,0, 0, 100
USDT200, 10,20201101_20210201,503.24%,23.73187,938/258/6, 20210201_20210301,463,152.38%,2.01, 28.53%,408, 40, 15, 88.1,27/0/1,1:00:00, 0:31:00, 6:33:00,84.56%,0,0.00, 0.00, 0:00,0,0, 0, 0
USDT200, 10,20201001_20210101,193.00%,15.11290,515/196/5, 20210101_20210201,313,71.38%,1.73, 25.64%,260, 35, 18, 83.1,26/1/4,1:11:00, 0:34:00, 6:07:00,90.0%,0,0.00, 0.00, 0:00,0,0, 0, 0
USDT200, 10,20200901_20201201,169.61%,14.01808,592/134/13, 20201201_20210101,137,21.03%,1.40, 20.47%,124, 5, 8, 90.5,18/10/4,0:55:00, 0:37:00, 3:16:00,5.14%,1,-3.03, -0.37, 0:45:00,0,0, 1, 0
USDT200, 10,20200801_20201101,89.75%,12.81789,434/85/19, 20201101_20201201,206,19.68%,0.88, 61.81%,165, 18, 23, 80.1,21/1/3,1:25:00, 0:42:00, 4:42:00,45.51%,0,0.00, 0.00, 0:00,0,0, 0, 0
