Market,Max Trades, IS,HO Return,HO Sharpe Ratio,HO Win Rate,OOS,Total Trades,Total Profit, Avg Profit, Drawdown, Wins, Draws, Loses, Win Rate, Win Day,Avg Duration, Avg Dur_Win, Avg Dur_Lose, Market Change, Left total trades, Left avg profit, Left total profit, Left avg duration, Left win, Left draws, Left lose, Left Win Rate 
USDT200, 10,20210701_20211001,31.75%,11.51101,136/98/8, 20211001_20211101,37,2.78%,0.75, 20.36%,17, 18, 2, 45.9,7/18/1,8:09:00, 2:12:00, 3 days 13:20:00,38.08%,1,-5.42, -0.54, 6 days 23:40:00,0,0, 1, 0
USDT200, 10,20210601_20210901,36.92%,11.98366,244/92/1, 20210901_20211001,101,10.34%,0.96, 60.13%,78, 21, 2, 77.2,16/7/1,9:02:00, 0:43:00, 12 days 21:58:00,-6.89%,0,0.00, 0.00, 0:00,0,0, 0, 0
USDT200, 10,20210501_20210801,78.91%,9.62335,234/206/10, 20210801_20210901,50,6.69%,1.30, 0.0%,28, 22, 0, 100,10/17/0,1:30:00, 1:05:00, 0:00:00,49.22%,0,0.00, 0.00, 0:00,0,0, 0, 0
USDT200, 10,20210401_20210701,151.09%,11.15120,435/126/18, 20210701_20210801,46,3.74%,0.80, 0.0%,22, 24, 0, 100,14/16/0,6:12:00, 1:37:00, 0:00:00,18.53%,0,0.00, 0.00, 0:00,0,0, 0, 0
USDT200, 10,20210301_20210601,182.52%,12.03461,433/148/16, 20210601_20210701,121,24.26%,1.78, 33.43%,78, 42, 1, 64.5,20/10/0,10:14:00, 1:13:00, 17 days 10:25:00,-20.56%,0,0.00, 0.00, 0:00,0,0, 0, 0
USDT200, 10,20210201_20210501,211.38%,19.75413,746/157/5, 20210501_20210601,440,29.61%,0.73, 339.47%,332, 94, 14, 75.5,25/2/3,2:11:00, 0:38:00, 19:30:00,-27.17%,0,0.00, 0.00, 0:00,0,0, 0, 0
USDT200, 10,20210101_20210401,215.47%,23.43312,646/243/36, 20210401_20210501,201,0.03%,0.17, 269.58%,159, 24, 18, 79.1,24/5/1,8:14:00, 0:56:00, 1 day 11:58:00,56.19%,0,0.00, 0.00, 0:00,0,0, 0, 0
USDT200, 10,20201201_20210301,263.61%,21.26785,613/220/5, 20210301_20210401,143,32.49%,1.97, 6.65%,106, 36, 1, 74.1,26/5/1,3:51:00, 1:00:00, 9 days 3:15:00,109.19%,1,-6.65, -0.83, 9 days 3:15:00,0,0, 1, 0
USDT200, 10,20201101_20210201,158.20%,19.02078,411/159/3, 20210201_20210301,265,51.32%,1.60, 93.86%,199, 58, 8, 75.1,26/1/2,5:30:00, 1:17:00, 3 days 8:45:00,98.22%,6,-15.64, -15.09, 4 days 6:09:00,0,0, 6, 0
USDT200, 10,20201001_20210101,64.37%,13.35534,224/132/4, 20210101_20210201,227,32.13%,1.24, 47.29%,141, 79, 7, 62.1,27/2/3,4:02:00, 1:13:00, 23:46:00,88.36%,1,-8.05, -1.06, 2 days 7:05:00,0,0, 1, 0
