Market,Max Trades, IS,HO Return,HO Sharpe Ratio,HO Win Rate,OOS,Total Trades,Total Profit, Avg Profit, Drawdown, Wins, Draws, Loses, Win Rate, Win Day,Avg Duration, Avg Dur_Win, Avg Dur_Lose, Market Change, Left total trades, Left avg profit, Left total profit, Left avg duration, Left win, Left draws, Left lose, Left Win Rate 
USDT200, 10,20210701_20211001,36.41%,6.76415,486/0/271, 20211001_20211101,141,6.98%,0.49, 43.32%,90, 1, 50, 63.8,17/4/5,1:00:00, 1:03:00, 0:52:00,38.08%,0,0.00, 0.00, 0:00,0,0, 0, 0
USDT200, 10,20210601_20210901,54.79%,6.20813,752/10/431, 20210901_20211001,419,7.01%,0.18, 82.42%,249, 1, 169, 59.4,22/2/6,1:22:00, 0:57:00, 1:58:00,-6.89%,0,0.00, 0.00, 0:00,0,0, 0, 0
USDT200, 10,20210501_20210801,43.16%,7.89430,206/0/55, 20210801_20210901,1,0.35%,3.53, 0.0%,1, 0, 0, 100,1/0/0,0:50:00, 0:50:00, 0:00:00,49.22%,0,0.00, 0.00, 0:00,0,0, 0, 0
USDT200, 10,20210401_20210701,160.08%,10.74503,436/2/121, 20210701_20210801,8,0.6%,0.76, 2.12%,4, 0, 4, 50.0,3/15/2,1:31:00, 1:00:00, 2:02:00,18.53%,0,0.00, 0.00, 0:00,0,0, 0, 0
USDT200, 10,20210301_20210601,202.94%,12.43544,479/0/113, 20210601_20210701,76,16.62%,2.05, 17.15%,63, 0, 13, 82.9,8/14/1,1:09:00, 0:59:00, 1:58:00,-20.56%,0,0.00, 0.00, 0:00,0,0, 0, 0
USDT200, 10,20210201_20210501,570.29%,17.65416,952/97/271, 20210501_20210601,633,24.45%,0.47, 355.93%,388, 50, 195, 61.3,22/1/7,1:14:00, 0:50:00, 1:54:00,-27.17%,0,0.00, 0.00, 0:00,0,0, 0, 0
USDT200, 10,20210101_20210401,593.79%,19.37832,1187/29/388, 20210401_20210501,483,70.14%,1.13, 87.73%,354, 2, 127, 73.3,24/1/5,1:07:00, 0:52:00, 1:45:00,56.19%,0,0.00, 0.00, 0:00,0,0, 0, 0
USDT200, 10,20201201_20210301,497.51%,17.62611,1198/1/395, 20210301_20210401,376,81.51%,1.59, 16.69%,300, 0, 76, 79.8,28/1/2,1:06:00, 0:55:00, 1:48:00,109.19%,0,0.00, 0.00, 0:00,0,0, 0, 0
USDT200, 10,20201101_20210201,226.61%,12.59291,868/2/337, 20210201_20210301,670,115.57%,1.17, 63.8%,501, 2, 167, 74.8,24/0/5,1:12:00, 0:56:00, 1:57:00,98.22%,1,-0.03, -0.01, 0:15:00,0,0, 1, 0
USDT200, 10,20201001_20210101,90.90%,8.94539,319/4/99, 20210101_20210201,314,68.39%,1.69, 46.23%,245, 2, 67, 78.0,26/0/5,1:10:00, 0:57:00, 1:57:00,88.36%,0,0.00, 0.00, 0:00,0,0, 0, 0
USDT200, 10,20200901_20201201,64.56%,8.95264,206/0/55, 20201201_20210101,107,21.23%,1.81, 13.63%,82, 0, 25, 76.6,18/10/3,1:18:00, 1:03:00, 2:07:00,24.1%,0,0.00, 0.00, 0:00,0,0, 0, 0
USDT200, 10,20200801_20201101,53.15%,9.60822,265/7/104, 20201101_20201201,204,32.0%,1.40, 86.42%,156, 2, 46, 76.5,24/1/3,1:12:00, 1:02:00, 1:44:00,46.2%,0,0.00, 0.00, 0:00,0,0, 0, 0
USDT200, 10,20200701_20201001,67.03%,11.83032,364/25/123, 20201001_20201101,85,0.04%,0.01, 35.53%,43, 5, 37, 50.6,15/7/9,1:31:00, 1:03:00, 1:59:00,-10.31%,0,0.00, 0.00, 0:00,0,0, 0, 0
USDT200, 10,20200601_20200901,61.93%,10.67918,388/8/95, 20200901_20201001,363,17.76%,0.46, 53.24%,242, 4, 117, 66.7,22/1/7,1:05:00, 0:42:00, 1:51:00,-17.3%,0,0.00, 0.00, 0:00,0,0, 0, 0
USDT200, 10,20200501_20200801,35.07%,12.58558,221/7/62, 20200801_20200901,223,19.26%,0.80, 66.22%,172, 1, 50, 77.1,19/6/5,1:02:00, 0:58:00, 1:13:00,29.02%,0,0.00, 0.00, 0:00,0,0, 0, 0
USDT200, 10,20200401_20200701,27.92%,10.79549,158/2/39, 20200701_20200801,70,9.11%,1.25, 9.23%,52, 0, 18, 74.3,16/13/1,1:14:00, 0:55:00, 2:10:00,31.5%,0,0.00, 0.00, 0:00,0,0, 0, 0
USDT200, 10,20200301_20200601,8.33%,4.57533,41/2/20, 20200601_20200701,7,1.7%,2.42, 0.0%,6, 1, 0, 100,2/8/0,1:07:00, 1:02:00, 0:00:00,-4.07%,0,0.00, 0.00, 0:00,0,0, 0, 0
USDT200, 10,20200201_20200501,26.82%,4.09605,139/4/57, 20200501_20200601,39,5.67%,1.43, 21.91%,27, 0, 12, 69.2,12/13/3,1:21:00, 0:56:00, 2:19:00,27.53%,0,0.00, 0.00, 0:00,0,0, 0, 0
USDT200, 10,20200101_20200401,29.35%,4.22049,168/2/77, 20200401_20200501,3,1.24%,4.11, 0.0%,3, 0, 0, 100,3/20/0,0:55:00, 0:55:00, 0:00:00,33.13%,0,0.00, 0.00, 0:00,0,0, 0, 0
USDT200, 10,20191201_20200301,4.05%,5.60931,19/0/4, 20200301_20200401,37,-4.95%,-1.21, 94.52%,26, 0, 11, 70.3,2/13/2,0:29:00, 0:14:00, 1:03:00,-33.12%,0,0.00, 0.00, 0:00,0,0, 0, 0
USDT200, 10,20191101_20200201,22.07%,6.43369,219/9/110, 20200201_20200301,232,13.96%,0.57, 48.44%,152, 6, 74, 65.5,17/3/7,1:18:00, 0:54:00, 2:04:00,8.99%,1,-1.25, -0.14, 0:10:00,0,0, 1, 0
USDT200, 10,20191001_20200101,37.11%,7.91004,555/50/276, 20200101_20200201,245,4.12%,0.17, 57.68%,149, 13, 83, 60.8,22/2/6,1:23:00, 1:02:00, 1:58:00,39.7%,0,0.00, 0.00, 0:00,0,0, 0, 0
USDT200, 10,20190901_20191201,2.59%,5.20444,16/0/29, 20191201_20200101,18,-1.67%,-0.93, 21.56%,4, 0, 14, 22.2,2/8/4,0:18:00, 1:04:00, 0:05:00,-11.1%,0,0.00, 0.00, 0:00,0,0, 0, 0
USDT200, 10,20190801_20191101,1.80%,4.60511,20/0/10, 20191101_20191201,6,1.8%,2.99, 0.0%,6, 0, 0, 100,4/4/0,0:50:00, 0:50:00, 0:00:00,-4.21%,0,0.00, 0.00, 0:00,0,0, 0, 0
BTC200, 10,20210701_20211001,38.72%,7.75961,410/9/206, 20211001_20211101,80,2.81%,0.35, 20.32%,56, 0, 24, 70.0,12/10/6,1:28:00, 1:04:00, 2:23:00,-14.71%,1,0.00, 0.00, 1:05:00,1,0, 0, 100
BTC200, 10,20210601_20210901,23.69%,7.69169,307/0/102, 20210901_20211001,230,16.57%,0.69, 76.7%,175, 0, 55, 76.1,16/6/8,0:55:00, 0:39:00, 1:46:00,-0.06%,0,0.00, 0.00, 0:00,0,0, 0, 0
BTC200, 10,20210501_20210801,56.15%,7.50364,264/2/69, 20210801_20210901,21,2.78%,1.31, 6.37%,15, 0, 6, 71.4,8/18/5,1:19:00, 0:59:00, 2:08:00,30.88%,0,0.00, 0.00, 0:00,0,0, 0, 0
BTC200, 10,20210401_20210701,107.24%,10.63067,303/9/60, 20210701_20210801,23,1.64%,0.72, 9.42%,13, 1, 9, 56.5,4/14/5,1:30:00, 0:58:00, 2:12:00,2.15%,0,0.00, 0.00, 0:00,0,0, 0, 0
BTC200, 10,20210301_20210601,145.78%,12.64331,505/10/167, 20210601_20210701,41,7.34%,1.74, 5.84%,29, 3, 9, 70.7,11/15/1,1:14:00, 0:56:00, 1:58:00,-14.84%,0,0.00, 0.00, 0:00,0,0, 0, 0
