Market,Max Trades, IS,HO Return,HO Sharpe Ratio,HO Win Rate,OOS,Total Trades,Total Profit, Avg Profit, Drawdown, Wins, Draws, Loses, Win Rate, Win Day,Avg Duration, Avg Dur_Win, Avg Dur_Lose, Market Change, Left total trades, Left avg profit, Left total profit, Left avg duration, Left win, Left draws, Left lose, Left Win Rate 
USDT200, 10,20210701_20211001,25.88%,7.11462,105/3/39, 20211001_20211101,124,3.48%,0.28, 19.64%,76, 0, 48, 61.3,16/7/5,1:18:00, 1:08:00, 1:35:00,39.61%,0,0.00, 0.00, 0:00,0,0, 0, 0
USDT200, 10,20210601_20210901,16.63%,8.59971,108/32/24, 20210901_20211001,315,15.86%,0.48, 65.83%,186, 59, 70, 59.0,16/5/6,0:56:00, 0:32:00, 1:53:00,-7.31%,0,0.00, 0.00, 0:00,0,0, 0, 0
USDT200, 10,20210501_20210801,54.26%,6.88532,359/11/110, 20210801_20210901,193,19.73%,0.94, 8.06%,146, 5, 42, 75.6,25/3/3,1:05:00, 0:49:00, 1:57:00,50.72%,0,0.00, 0.00, 0:00,0,0, 0, 0
USDT200, 10,20210401_20210701,102.69%,10.85399,418/63/109, 20210701_20210801,200,-1.22%,-0.06, 62.85%,76, 60, 64, 38.0,14/3/14,1:17:00, 0:42:00, 2:04:00,21.62%,0,0.00, 0.00, 0:00,0,0, 0, 0
USDT200, 10,20210301_20210601,157.14%,11.21839,392/41/116, 20210601_20210701,354,2.28%,0.08, 90.77%,188, 44, 122, 53.1,19/1/10,1:21:00, 0:48:00, 2:05:00,-17.0%,0,0.00, 0.00, 0:00,0,0, 0, 0
USDT200, 10,20210201_20210501,396.16%,17.79439,1072/9/243, 20210501_20210601,856,21.25%,0.29, 314.82%,591, 4, 261, 69.0,23/0/8,1:01:00, 0:38:00, 1:53:00,-26.52%,0,0.00, 0.00, 0:00,0,0, 0, 0
USDT200, 10,20210101_20210401,578.75%,19.81633,1389/39/466, 20210401_20210501,505,54.15%,0.88, 96.13%,374, 9, 122, 74.1,27/0/3,1:07:00, 0:50:00, 1:52:00,59.09%,0,0.00, 0.00, 0:00,0,0, 0, 0
USDT200, 10,20201201_20210301,335.48%,17.18179,954/39/305, 20210301_20210401,347,59.35%,1.35, 14.38%,256, 15, 76, 73.8,26/3/2,1:08:00, 0:53:00, 1:48:00,112.74%,0,0.00, 0.00, 0:00,0,0, 0, 0
USDT200, 10,20201101_20210201,137.66%,13.33375,467/16/135, 20210201_20210301,688,102.49%,1.04, 71.0%,510, 25, 153, 74.1,24/0/5,1:06:00, 0:50:00, 1:53:00,98.59%,1,-0.03, -0.01, 0:15:00,0,0, 1, 0
USDT200, 10,20201001_20210101,62.41%,10.23954,278/6/94, 20210101_20210201,647,83.17%,0.95, 71.06%,476, 5, 166, 73.6,27/0/4,1:08:00, 0:52:00, 1:52:00,91.27%,0,0.00, 0.00, 0:00,0,0, 0, 0
USDT200, 10,20200901_20201201,59.14%,10.79734,260/3/90, 20201201_20210101,345,15.69%,0.43, 59.13%,235, 6, 104, 68.1,18/2/11,1:18:00, 0:57:00, 2:02:00,25.33%,0,0.00, 0.00, 0:00,0,0, 0, 0
USDT200, 10,20200801_20201101,46.82%,11.16634,202/3/64, 20201101_20201201,321,26.33%,0.74, 82.49%,222, 2, 97, 69.2,24/0/5,1:11:00, 0:55:00, 1:46:00,46.0%,0,0.00, 0.00, 0:00,0,0, 0, 0
USDT200, 10,20200701_20201001,65.16%,12.32319,547/41/169, 20201001_20201101,129,-4.68%,-0.37, 58.73%,62, 14, 53, 48.1,16/3/12,1:26:00, 0:49:00, 2:04:00,-9.0%,0,0.00, 0.00, 0:00,0,0, 0, 0
USDT200, 10,20200601_20200901,78.93%,11.18006,621/63/219, 20200901_20201001,332,10.33%,0.31, 60.09%,197, 26, 109, 59.3,21/1/8,1:17:00, 0:52:00, 1:59:00,-18.35%,0,0.00, 0.00, 0:00,0,0, 0, 0
USDT200, 10,20200501_20200801,35.06%,11.41339,256/1/78, 20200801_20200901,265,29.37%,0.98, 17.54%,203, 0, 62, 76.6,23/3/5,1:04:00, 0:52:00, 1:45:00,29.33%,0,0.00, 0.00, 0:00,0,0, 0, 0
USDT200, 10,20200401_20200701,26.71%,9.93829,174/1/66, 20200701_20200801,130,14.65%,1.06, 9.23%,97, 1, 32, 74.6,22/4/4,1:18:00, 1:03:00, 2:01:00,30.71%,0,0.00, 0.00, 0:00,0,0, 0, 0
