Market,Max Trades, IS,HO Return,HO Sharpe Ratio,HO Win Rate,OOS,Total Trades,Total Profit, Avg Profit, Drawdown, Wins, Draws, Loses, Win Rate, Win Day,Avg Duration, Avg Dur_Win, Avg Dur_Lose, Market Change, Left total trades, Left avg profit, Left total profit, Left avg duration, Left win, Left draws, Left lose, Left Win Rate 
BTC200, 10,20210701_20211001,64.91%,6.43367,170/84/35, 20211001_20211101,27,-1.83%,-0.68, 26.76%,12, 0, 15, 44.4,4/17/5,4:31:00, 4:00:00, 4:55:00,-15.05%,2,3.55, 0.71, 13:40:00,1,0, 1, 50.0
BTC200, 10,20210601_20210901,44.03%,4.60373,80/62/10, 20210901_20211001,95,28.0%,2.69, 11.31%,65, 6, 24, 68.4,13/7/5,8:14:00, 8:03:00, 9:08:00,4.58%,0,0.00, 0.00, 0:00,0,0, 0, 0
BTC200, 10,20210501_20210801,55.54%,8.99387,258/1/53, 20210801_20210901,57,4.88%,0.85, 12.52%,28, 4, 25, 49.1,13/7/12,10:29:00, 10:42:00, 9:26:00,30.96%,1,3.41, 0.36, 6:25:00,1,0, 0, 100
BTC200, 10,20210401_20210701,117.76%,12.04317,651/0/170, 20210701_20210801,43,8.57%,1.97, 21.17%,19, 1, 23, 44.2,6/11/13,9:27:00, 12:15:00, 7:23:00,10.65%,0,0.00, 0.00, 0:00,0,0, 0, 0
BTC200, 10,20210301_20210601,238.49%,14.16609,1038/10/382, 20210601_20210701,46,2.4%,0.53, 29.04%,23, 1, 22, 50.0,9/10/10,6:47:00, 8:13:00, 5:28:00,-10.9%,0,0.00, 0.00, 0:00,0,0, 0, 0
BTC200, 10,20210201_20210501,185.89%,12.57181,802/1/275, 20210501_20210601,280,61.01%,1.98, 169.34%,169, 26, 85, 60.4,19/3/8,6:11:00, 5:55:00, 7:30:00,13.42%,0,0.00, 0.00, 0:00,0,0, 0, 0
BTC200, 10,20210101_20210401,357.58%,12.53897,753/23/500, 20210401_20210501,203,67.72%,2.89, 52.62%,112, 15, 76, 55.2,22/2/7,11:08:00, 11:07:00, 10:50:00,61.12%,1,0.82, 0.14, 9:00:00,1,0, 0, 100
BTC200, 10,20201201_20210301,4062.99%,16.42466,1737/516/1327, 20210301_20210401,128,48.38%,3.19, 14.38%,71, 13, 44, 55.5,19/6/7,10:40:00, 11:15:00, 10:44:00,45.64%,2,4.08, 1.20, 3:50:00,2,0, 0, 100
BTC200, 10,20201101_20210201,71249.57%,24.28583,3470/451/3258, 20210201_20210301,365,76.26%,1.69, 43.06%,191, 61, 113, 52.3,21/0/8,7:33:00, 8:39:00, 7:47:00,46.87%,3,6.82, 3.55, 4:27:00,3,0, 0, 100
BTC200, 10,20201001_20210101,415.89%,12.27627,806/79/1394, 20210101_20210201,395,52.82%,1.16, 130.59%,181, 57, 157, 45.8,22/0/10,6:12:00, 6:52:00, 6:00:00,67.76%,6,10.59, 9.05, 23:00:00,5,0, 1, 83.3
