Market,Max Trades, Backtest Period,Total Trades,Total Profit, Avg Profit, Drawdown, Wins, Draws, Loses, Win Rate, Win Day,Avg Duration, Avg Dur_Win, Avg Dur_Lose, Market Change, Left total trades, Left avg profit, Left total profit, Left avg duration, Left win, Left draws, Left lose, Left Win Rate 
USDT200, 10,20211001_20211101,313,5.5%,0.18, 78.33%,280, 0, 33, 89.5,23/0/9,8:13:00, 4:40:00, 1 day 14:22:00,37.44%,1,-2.14, -0.21, 4 days 16:10:00,0,0, 1, 0
USDT200, 10,20210901_20211001,274,-6.79%,-0.23, 123.16%,236, 0, 38, 86.1,18/0/12,9:31:00, 4:59:00, 1 day 13:40:00,-13.11%,0,0.00, 0.00, 0:00,0,0, 0, 0
USDT200, 10,20210801_20210901,318,18.49%,0.54, 19.08%,288, 0, 30, 90.6,27/0/5,4:38:00, 4:26:00, 6:24:00,55.72%,2,-5.52, -1.33, 16:28:00,0,0, 2, 0
USDT200, 10,20210701_20210801,341,11.36%,0.33, 67.34%,302, 0, 39, 88.6,22/0/10,6:20:00, 5:33:00, 12:30:00,22.17%,1,-1.47, -0.16, 13:10:00,0,0, 1, 0
USDT200, 10,20210601_20210701,271,5.64%,0.21, 53.94%,248, 0, 23, 91.5,21/1/9,8:30:00, 3:42:00, 2 days 12:12:00,-22.67%,1,-0.45, -0.04, 29 days 15:25:00,0,0, 1, 0
USDT200, 10,20210501_20210601,557,53.19%,0.76, 190.26%,522, 0, 35, 93.7,31/0/1,3:11:00, 2:18:00, 16:26:00,-34.38%,1,0.42, 0.06, 10 days 9:40:00,1,0, 0, 100
USDT200, 10,20210401_20210501,499,47.03%,0.77, 47.98%,455, 0, 44, 91.2,26/0/5,4:44:00, 3:59:00, 12:29:00,27.93%,3,-0.64, -0.28, 6 days 11:15:00,1,0, 2, 33.3
USDT200, 10,20210301_20210401,562,40.75%,0.61, 49.02%,505, 0, 57, 89.9,26/0/6,2:07:00, 1:41:00, 5:59:00,136.52%,1,-0.15, -0.02, 15:55:00,0,0, 1, 0
USDT200, 10,20210201_20210301,704,96.2%,0.96, 27.78%,650, 0, 54, 92.3,26/0/3,1:53:00, 1:06:00, 11:25:00,81.74%,4,-3.12, -2.45, 4 days 21:22:00,0,0, 4, 0
USDT200, 10,20210101_20210201,619,51.41%,0.68, 46.81%,555, 0, 64, 89.7,27/0/5,3:46:00, 1:44:00, 21:25:00,92.61%,2,-0.07, -0.01, 23 days 20:28:00,0,0, 2, 0
USDT200, 10,20201201_20210101,298,12.88%,0.40, 51.81%,263, 0, 35, 88.3,23/0/9,6:43:00, 4:08:00, 1 day 2:08:00,6.6%,2,-1.80, -0.41, 2:25:00,0,0, 2, 0
USDT200, 10,20201101_20201201,378,18.59%,0.46, 63.42%,338, 0, 40, 89.4,25/0/6,3:51:00, 2:32:00, 15:03:00,45.88%,4,-3.19, -1.50, 4 days 18:41:00,0,0, 4, 0
USDT200, 10,20201001_20201101,254,6.87%,0.27, 67.14%,232, 0, 22, 91.3,24/1/7,14:19:00, 9:58:00, 2 days 12:13:00,-18.94%,5,-7.74, -4.24, 3 days 13:23:00,0,0, 5, 0
USDT200, 10,20200901_20201001,281,-13.85%,-0.46, 288.2%,243, 0, 38, 86.5,19/1/11,14:43:00, 4:44:00, 3 days 6:30:00,-29.71%,4,-1.60, -0.59, 10 days 14:09:00,1,0, 3, 25.0
USDT200, 10,20200801_20200901,270,24.29%,0.81, 36.39%,252, 0, 18, 93.3,28/0/3,2:11:00, 1:40:00, 9:22:00,45.8%,2,-0.56, -0.14, 16:22:00,1,0, 1, 50.0
USDT200, 10,20200701_20200801,148,13.39%,0.85, 17.68%,137, 0, 11, 92.6,27/0/4,5:58:00, 5:12:00, 15:24:00,35.02%,0,0.00, 0.00, 0:00,0,0, 0, 0
USDT200, 10,20200601_20200701,135,5.33%,0.39, 32.44%,122, 0, 13, 90.4,21/6/4,21:00:00, 11:15:00, 4 days 16:30:00,-0.74%,4,-2.26, -0.97, 9 days 22:32:00,1,0, 3, 25.0
USDT200, 10,20200501_20200601,133,9.83%,0.71, 21.18%,120, 0, 13, 90.2,26/1/4,20:29:00, 15:52:00, 2 days 15:05:00,19.2%,6,-3.53, -2.35, 5 days 5:09:00,1,0, 5, 16.7
USDT200, 10,20200401_20200501,154,6.1%,0.39, 16.5%,135, 0, 19, 87.7,20/3/8,3:58:00, 3:08:00, 9:54:00,31.53%,2,-3.30, -0.71, 14:50:00,0,0, 2, 0
USDT200, 10,20200301_20200401,190,-41.54%,-2.19, 542.92%,155, 0, 35, 81.6,18/5/9,14:17:00, 4:03:00, 2 days 11:33:00,-33.67%,3,-0.16, -0.03, 6 days 2:02:00,1,0, 2, 33.3
USDT200, 10,20200201_20200301,154,0.86%,0.06, 48.42%,132, 0, 22, 85.7,19/2/9,17:52:00, 2:33:00, 4 days 13:44:00,4.87%,6,-4.89, -3.00, 14 days 4:34:00,0,0, 6, 0
USDT200, 10,20200101_20200201,102,5.36%,0.52, 12.28%,90, 0, 12, 88.2,21/4/7,11:31:00, 11:27:00, 12:03:00,25.34%,1,-1.08, -0.11, 1 day 10:25:00,0,0, 1, 0
USDT200, 10,20191201_20200101,103,-2.08%,-0.19, 47.43%,90, 0, 13, 87.4,19/4/9,22:49:00, 12:18:00, 3 days 23:43:00,-13.54%,4,-3.95, -1.56, 7 days 16:04:00,0,0, 4, 0
