Market,Max Trades, Backtest Period,Total Trades,Total Profit, Avg Profit, Drawdown, Wins, Draws, Loses, Win Rate, Win Day,Avg Duration, Avg Dur_Win, Avg Dur_Lose, Market Change, Left total trades, Left avg profit, Left total profit, Left avg duration, Left win, Left draws, Left lose, Left Win Rate 
USDT200, 10,20211001_20211101,363,12.73%,0.33, 32.95%,300, 0, 63, 82.6,25/0/6,1:18:00, 0:50:00, 3:34:00,37.44%,0,0.00, 0.00, 0:00,0,0, 0, 0
USDT200, 10,20210901_20211001,238,4.43%,0.19, 61.32%,192, 0, 46, 80.7,21/1/9,3:32:00, 0:42:00, 15:22:00,-13.11%,1,-0.09, -0.01, 23 days 8:35:00,0,0, 1, 0
USDT200, 10,20210801_20210901,341,13.65%,0.38, 36.21%,284, 0, 57, 83.3,23/0/8,1:29:00, 0:58:00, 4:05:00,55.72%,0,0.00, 0.00, 0:00,0,0, 0, 0
USDT200, 10,20210701_20210801,341,0.49%,0.02, 65.29%,256, 0, 85, 75.1,20/0/11,2:00:00, 1:14:00, 4:20:00,22.17%,0,0.00, 0.00, 0:00,0,0, 0, 0
USDT200, 10,20210601_20210701,217,9.92%,0.44, 50.23%,176, 0, 41, 81.1,19/4/7,2:50:00, 0:45:00, 11:48:00,-22.67%,0,0.00, 0.00, 0:00,0,0, 0, 0
USDT200, 10,20210501_20210601,562,83.56%,1.08, 33.5%,488, 0, 74, 86.8,29/0/2,1:12:00, 0:58:00, 2:44:00,-34.38%,0,0.00, 0.00, 0:00,0,0, 0, 0
USDT200, 10,20210401_20210501,557,83.71%,1.09, 30.75%,491, 0, 66, 88.2,29/0/1,1:03:00, 0:40:00, 3:52:00,27.93%,0,0.00, 0.00, 0:00,0,0, 0, 0
USDT200, 10,20210301_20210401,610,78.34%,0.95, 33.05%,522, 0, 88, 85.6,30/0/2,0:55:00, 0:34:00, 2:58:00,136.52%,2,0.61, 0.22, 0:28:00,1,0, 1, 50.0
USDT200, 10,20210201_20210301,825,134.98%,1.04, 24.49%,720, 0, 105, 87.3,26/0/3,1:00:00, 0:31:00, 4:14:00,81.74%,1,-0.35, -0.07, 6 days 9:10:00,0,0, 1, 0
USDT200, 10,20210101_20210201,778,79.21%,0.76, 90.77%,665, 0, 113, 85.5,26/0/5,0:55:00, 0:34:00, 3:04:00,92.61%,0,0.00, 0.00, 0:00,0,0, 0, 0
USDT200, 10,20201201_20210101,336,25.17%,0.67, 41.61%,281, 0, 55, 83.6,26/0/6,3:21:00, 0:47:00, 16:28:00,6.6%,4,-1.10, -0.54, 7 days 16:39:00,0,0, 4, 0
USDT200, 10,20201101_20201201,446,18.23%,0.38, 46.63%,358, 0, 88, 80.3,23/0/7,1:23:00, 0:56:00, 3:15:00,45.88%,0,0.00, 0.00, 0:00,0,0, 0, 0
USDT200, 10,20201001_20201101,181,2.88%,0.16, 11.5%,144, 0, 37, 79.6,21/1/7,2:37:00, 1:59:00, 5:08:00,-18.94%,0,0.00, 0.00, 0:00,0,0, 0, 0
USDT200, 10,20200901_20201001,297,28.87%,0.86, 50.43%,256, 0, 41, 86.2,22/1/7,0:58:00, 0:33:00, 3:35:00,-29.71%,0,0.00, 0.00, 0:00,0,0, 0, 0
USDT200, 10,20200801_20200901,302,16.36%,0.50, 25.94%,235, 0, 67, 77.8,25/1/6,2:02:00, 1:28:00, 4:01:00,45.8%,1,-0.05, -0.01, 2 days 22:10:00,0,0, 1, 0
USDT200, 10,20200701_20200801,212,14.25%,0.63, 11.56%,180, 0, 32, 84.9,25/0/7,1:45:00, 1:12:00, 4:48:00,35.02%,1,-0.38, -0.04, 20:35:00,0,0, 1, 0
USDT200, 10,20200601_20200701,115,1.62%,0.14, 23.95%,83, 0, 32, 72.2,20/3/8,6:20:00, 1:19:00, 19:19:00,-0.74%,1,-0.30, -0.03, 19 days 6:25:00,0,0, 1, 0
USDT200, 10,20200501_20200601,199,9.24%,0.44, 29.91%,166, 0, 33, 83.4,21/3/8,5:23:00, 1:09:00, 1 day 2:40:00,19.2%,2,-2.31, -0.50, 15 days 9:05:00,0,0, 2, 0
USDT200, 10,20200401_20200501,232,6.26%,0.26, 23.38%,190, 0, 42, 81.9,23/0/8,2:45:00, 1:25:00, 8:45:00,31.53%,1,-0.11, -0.01, 6 days 16:10:00,0,0, 1, 0
USDT200, 10,20200301_20200401,258,-1.62%,-0.02, 144.15%,205, 0, 53, 79.5,18/5/8,1:06:00, 0:34:00, 3:08:00,-33.67%,0,0.00, 0.00, 0:00,0,0, 0, 0
USDT200, 10,20200201_20200301,201,5.21%,0.26, 55.78%,164, 0, 37, 81.6,16/2/9,1:27:00, 0:51:00, 4:05:00,4.87%,0,0.00, 0.00, 0:00,0,0, 0, 0
USDT200, 10,20200101_20200201,177,6.6%,0.36, 19.37%,143, 0, 34, 80.8,19/6/7,2:12:00, 1:35:00, 4:48:00,25.34%,1,-0.67, -0.07, 1:00:00,0,0, 1, 0
USDT200, 10,20191201_20200101,84,-2.56%,-0.31, 40.42%,62, 0, 22, 73.8,15/3/11,2:26:00, 1:07:00, 6:07:00,-13.54%,0,0.00, 0.00, 0:00,0,0, 0, 0
USDT200, 10,20191101_20191201,57,1.74%,0.30, 10.46%,45, 0, 12, 78.9,18/5/6,2:03:00, 1:30:00, 4:10:00,-8.1%,0,0.00, 0.00, 0:00,0,0, 0, 0
BTC200, 10,20211001_20211101,223,-3.78%,-0.16, 68.46%,164, 0, 59, 73.5,20/1/10,1:49:00, 1:08:00, 3:42:00,-4.23%,0,0.00, 0.00, 0:00,0,0, 0, 0
BTC200, 10,20210901_20211001,244,14.3%,0.55, 21.51%,194, 0, 50, 79.5,19/2/10,1:21:00, 0:38:00, 4:09:00,-2.26%,1,-0.17, -0.02, 1 day 14:55:00,0,0, 1, 0
BTC200, 10,20210801_20210901,305,8.39%,0.27, 35.37%,245, 0, 60, 80.3,20/0/12,2:33:00, 1:13:00, 8:01:00,38.45%,1,-0.19, -0.02, 8 days 15:05:00,0,0, 1, 0
BTC200, 10,20210701_20210801,242,-0.94%,-0.04, 58.39%,177, 0, 65, 73.1,14/1/16,1:43:00, 0:54:00, 3:54:00,5.3%,0,0.00, 0.00, 0:00,0,0, 0, 0
BTC200, 10,20210601_20210701,136,3.25%,0.24, 21.58%,108, 0, 28, 79.4,18/4/9,4:24:00, 0:54:00, 17:57:00,-21.15%,1,-0.16, -0.02, 16 days 1:50:00,0,0, 1, 0
BTC200, 10,20210501_20210601,399,43.18%,0.90, 27.73%,339, 0, 60, 85.0,25/0/6,1:06:00, 0:44:00, 3:09:00,-8.05%,0,0.00, 0.00, 0:00,0,0, 0, 0
BTC200, 10,20210401_20210501,465,39.38%,0.71, 23.1%,383, 0, 82, 82.4,27/0/4,1:09:00, 0:43:00, 3:10:00,35.86%,1,-2.24, -0.31, 1:10:00,0,0, 1, 0
BTC200, 10,20210301_20210401,580,39.11%,0.57, 51.26%,453, 0, 127, 78.1,25/0/7,1:00:00, 0:36:00, 2:25:00,76.54%,2,0.44, 0.12, 0:15:00,1,0, 1, 50.0
BTC200, 10,20210201_20210301,716,56.71%,0.64, 112.73%,590, 0, 126, 82.4,24/0/4,1:22:00, 1:06:00, 2:36:00,32.57%,0,0.00, 0.00, 0:00,0,0, 0, 0
BTC200, 10,20210101_20210201,638,58.96%,0.73, 42.14%,516, 0, 122, 80.9,27/0/4,0:56:00, 0:33:00, 2:33:00,63.15%,0,0.00, 0.00, 0:00,0,0, 0, 0
BTC200, 10,20201201_20210101,223,24.3%,0.98, 28.7%,189, 0, 34, 84.8,28/0/3,0:51:00, 0:32:00, 2:34:00,-31.37%,0,0.00, 0.00, 0:00,0,0, 0, 0
BTC200, 10,20201101_20201201,385,18.02%,0.44, 40.07%,300, 0, 85, 77.9,23/1/6,1:09:00, 0:37:00, 3:02:00,0.4%,0,0.00, 0.00, 0:00,0,0, 0, 0
BTC200, 10,20201001_20201101,112,3.14%,0.28, 20.99%,92, 0, 20, 82.1,19/2/10,1:34:00, 1:02:00, 4:03:00,-36.85%,0,0.00, 0.00, 0:00,0,0, 0, 0
BTC200, 10,20200901_20201001,269,16.06%,0.56, 46.33%,227, 0, 42, 84.4,25/0/5,0:57:00, 0:32:00, 3:16:00,-26.31%,0,0.00, 0.00, 0:00,0,0, 0, 0
BTC200, 10,20200801_20200901,342,19.44%,0.52, 24.15%,268, 0, 74, 78.4,22/0/9,1:18:00, 0:47:00, 3:13:00,46.6%,0,0.00, 0.00, 0:00,0,0, 0, 0
BTC200, 10,20200701_20200801,298,24.29%,0.73, 19.28%,249, 0, 49, 83.6,25/0/6,1:24:00, 0:50:00, 4:20:00,12.23%,0,0.00, 0.00, 0:00,0,0, 0, 0
BTC200, 10,20200601_20200701,196,12.5%,0.60, 16.8%,157, 0, 39, 80.1,26/1/3,1:36:00, 1:14:00, 3:04:00,8.05%,0,0.00, 0.00, 0:00,0,0, 0, 0
BTC200, 10,20200501_20200601,208,14.86%,0.67, 13.37%,161, 0, 47, 77.4,26/1/4,1:21:00, 0:44:00, 3:29:00,18.13%,0,0.00, 0.00, 0:00,0,0, 0, 0
BTC200, 10,20200401_20200501,134,11.76%,0.83, 6.83%,102, 0, 32, 76.1,23/1/6,1:57:00, 1:03:00, 4:49:00,-2.9%,0,0.00, 0.00, 0:00,0,0, 0, 0
BTC200, 10,20200301_20200401,209,14.23%,0.64, 45.71%,160, 0, 49, 76.6,19/2/11,1:20:00, 0:41:00, 3:28:00,-8.5%,1,-3.04, -0.35, 2:20:00,0,0, 1, 0
BTC200, 10,20200201_20200301,262,12.55%,0.45, 33.92%,210, 0, 52, 80.2,25/0/4,1:35:00, 0:50:00, 4:37:00,17.73%,0,0.00, 0.00, 0:00,0,0, 0, 0
BTC200, 10,20200101_20200201,136,1.93%,0.14, 13.66%,102, 0, 34, 75.0,13/2/16,2:19:00, 1:24:00, 5:04:00,-2.54%,0,0.00, 0.00, 0:00,0,0, 0, 0
BTC200, 10,20191201_20200101,104,0.26%,0.03, 39.14%,83, 0, 21, 79.8,20/2/10,1:39:00, 1:06:00, 3:49:00,-10.35%,1,-0.23, -0.02, 1:40:00,0,0, 1, 0
BTC200, 10,20191101_20191201,163,7.37%,0.44, 23.53%,127, 0, 36, 77.9,17/2/9,2:23:00, 1:28:00, 5:38:00,14.06%,0,0.00, 0.00, 0:00,0,0, 0, 0
