Market,Max Trades, IS,HO Return,HO Sharpe Ratio,HO Win Rate,OOS,Total Trades,Total Profit, Avg Profit, Drawdown, Wins, Draws, Loses, Win Rate, Win Day,Avg Duration, Avg Dur_Win, Avg Dur_Lose, Market Change, Left total trades, Left avg profit, Left total profit, Left avg duration, Left win, Left draws, Left lose, Left Win Rate 
USDT200, 5,20210701_20211001,83.44%,5.70421,65/57/5, 20211001_20211101,49,35.71%,3.17, 41.69%,29, 15, 5, 59.2,15/10/1,2 days 14:28:00, 1 day 4:00:00, 7 days 7:48:00,39.04%,5,-8.34, -11.38, 7 days 7:48:00,0,0, 5, 0
USDT200, 5,20210601_20210901,99.34%,3.49910,249/10/278, 20210901_20211001,186,-8.78%,-0.19, 149.27%,78, 3, 105, 41.9,14/0/16,14:47:00, 14:12:00, 14:25:00,-5.96%,4,1.75, 1.27, 20:00:00,3,0, 1, 75.0
USDT200, 5,20210501_20210801,-22.46%,0.01532,82/71/19, 20210801_20210901,75,24.47%,1.49, 21.26%,31, 40, 4, 41.3,14/14/1,1 day 22:23:00, 20:15:00, 7 days 21:30:00,43.83%,5,-4.25, -5.45, 6 days 8:36:00,1,0, 4, 20.0
USDT200, 5,20210401_20210701,59.71%,2.02060,440/31/403, 20210701_20210801,256,-4.04%,-0.03, 206.63%,104, 6, 146, 40.6,15/0/16,12:07:00, 14:05:00, 10:09:00,22.66%,4,0.34, 0.25, 7:45:00,1,0, 3, 25.0
USDT200, 5,20210301_20210601,551.63%,5.86314,512/0/759, 20210601_20210701,315,-5.43%,-0.05, 115.69%,107, 0, 208, 34.0,11/2/17,6:18:00, 8:12:00, 5:18:00,-21.57%,5,2.23, 2.07, 4:00:00,5,0, 0, 100
USDT200, 5,20210201_20210501,1885.39%,10.38074,822/0/769, 20210501_20210601,443,-14.06%,-0.11, 238.02%,201, 0, 242, 45.4,14/0/17,4:55:00, 3:57:00, 5:42:00,-26.39%,2,1.65, 0.55, 10:00:00,2,0, 0, 100
USDT200, 5,20210101_20210401,4147.90%,13.12486,599/0/704, 20210401_20210501,413,111.35%,0.96, 84.5%,174, 0, 239, 42.1,22/0/8,6:20:00, 7:03:00, 5:49:00,55.43%,5,3.06, 6.24, 9:12:00,4,0, 1, 80.0
USDT200, 5,20201201_20210301,2023.39%,10.38516,568/0/699, 20210301_20210401,447,249.63%,1.46, 60.46%,191, 0, 256, 42.7,24/0/7,6:14:00, 7:10:00, 5:33:00,103.4%,3,1.60, 3.20, 4:00:00,3,0, 0, 100
USDT200, 5,20201101_20210201,452.45%,8.47958,294/52/248, 20210201_20210301,193,65.51%,1.47, 185.52%,98, 17, 78, 50.8,18/0/9,14:19:00, 12:43:00, 14:09:00,105.94%,4,1.09, 1.40, 3:00:00,3,0, 1, 75.0
USDT200, 5,20201001_20210101,114.30%,9.03627,86/74/3, 20210101_20210201,56,25.97%,2.38, 76.83%,32, 18, 6, 57.1,15/14/2,2 days 14:22:00, 15:43:00, 9 days 22:40:00,84.34%,5,-15.37, -22.36, 11 days 14:48:00,0,0, 5, 0
USDT200, 5,20200901_20201201,33.77%,2.84610,86/59/12, 20201201_20210101,55,8.52%,0.84, 60.31%,28, 18, 9, 50.9,15/10/5,2 days 15:34:00, 21:11:00, 2 days 15:33:00,27.28%,4,-1.92, -1.68, 1 day 5:30:00,0,0, 4, 0
USDT200, 5,20200801_20201101,66.44%,2.85381,204/9/364, 20201101_20201201,168,54.75%,1.39, 62.94%,70, 2, 96, 41.7,19/0/11,18:33:00, 22:42:00, 15:06:00,44.52%,5,2.66, 3.94, 16:36:00,4,0, 1, 80.0
USDT200, 5,20200701_20201001,77.69%,4.53046,80/81/7, 20201001_20201101,54,3.92%,0.38, 44.99%,18, 31, 5, 33.3,15/14/1,2 days 15:23:00, 1 day 0:27:00, 7 days 6:12:00,-10.1%,5,-9.00, -9.98, 7 days 6:12:00,0,0, 5, 0
USDT200, 5,20200601_20200901,28.39%,8.28690,37/54/4, 20200901_20201001,46,-18.93%,-1.98, 119.48%,17, 19, 10, 37.0,10/14/5,3 days 0:53:00, 17:21:00, 7 days 4:18:00,-16.68%,5,-4.61, -3.80, 11 days 22:00:00,1,0, 4, 20.0
USDT200, 5,20200501_20200801,45.46%,10.42668,45/44/1, 20200801_20200901,42,13.26%,1.55, 37.81%,22, 15, 5, 52.4,12/17/1,3 days 10:40:00, 1 day 4:55:00, 11 days 12:36:00,30.11%,5,-7.56, -9.23, 11 days 12:36:00,0,0, 5, 0
USDT200, 5,20200401_20200701,34.87%,4.14760,56/47/6, 20200701_20200801,73,32.66%,1.97, 22.44%,40, 30, 3, 54.8,19/9/2,1 day 23:16:00, 22:48:00, 3 days 11:40:00,31.66%,5,1.45, 1.89, 1 day 7:36:00,4,0, 1, 80.0
USDT200, 5,20200301_20200601,40.73%,2.40985,173/46/292, 20200601_20200701,122,-17.18%,-0.75, 95.07%,31, 18, 73, 25.4,10/2/18,21:35:00, 1 day 3:35:00, 15:53:00,-5.77%,4,-0.52, -0.34, 1 day 0:30:00,1,0, 3, 25.0
USDT200, 5,20200201_20200501,31.90%,1.90302,92/85/16, 20200501_20200601,28,3.55%,0.65, 21.92%,9, 13, 6, 32.1,9/21/1,5 days 5:15:00, 21:47:00, 4 days 14:50:00,29.17%,5,-4.38, -4.72, 5 days 13:00:00,0,0, 5, 0
USDT200, 5,20200101_20200401,25.46%,1.63145,97/99/19, 20200401_20200501,49,15.59%,1.54, 26.07%,22, 22, 5, 44.9,11/17/1,2 days 20:04:00, 1 day 1:14:00, 21:24:00,36.48%,5,-5.21, -6.32, 21:24:00,0,0, 5, 0
USDT200, 5,20191201_20200301,43.27%,3.09039,101/80/19, 20200301_20200401,89,-25.23%,-1.22, 181.29%,42, 23, 24, 47.2,15/9/7,1 day 9:40:00, 19:41:00, 2 days 3:28:00,-33.88%,5,-2.89, -2.19, 4 days 7:36:00,1,0, 4, 20.0
USDT200, 5,20191101_20200201,16.66%,2.52363,45/58/7, 20200201_20200301,71,2.19%,0.48, 150.51%,39, 25, 7, 54.9,13/12/3,1 day 21:11:00, 18:14:00, 9 days 15:09:00,8.27%,5,-16.58, -22.60, 8 days 7:24:00,0,0, 5, 0
USDT200, 5,20191001_20200101,62.69%,3.53843,164/28/289, 20200101_20200201,143,3.43%,0.17, 68.85%,58, 12, 73, 40.6,18/0/13,21:01:00, 1 day 2:16:00, 15:07:00,40.55%,5,1.03, 1.06, 9:24:00,2,0, 3, 40.0
USDT200, 5,20190901_20191201,32.35%,2.11738,148/12/289, 20191201_20200101,161,-6.21%,-0.16, 61.46%,48, 4, 109, 29.8,12/0/19,17:44:00, 1 day 0:49:00, 13:57:00,-10.63%,2,-0.39, -0.15, 13:00:00,1,0, 1, 50.0
USDT200, 5,20190801_20191101,3.60%,1.01399,46/57/10, 20191101_20191201,43,-14.55%,-1.44, 91.54%,17, 18, 8, 39.5,12/15/3,3 days 6:42:00, 21:14:00, 10 days 4:38:00,-4.75%,5,-9.90, -9.95, 9 days 13:48:00,0,0, 5, 0
USDT200, 10,20210701_20211001,71.64%,4.50470,166/150/19, 20211001_20211101,112,22.29%,1.82, 89.82%,44, 57, 11, 39.3,23/1/2,2 days 6:26:00, 22:00:00, 4 days 14:33:00,39.04%,10,-6.26, -7.58, 4 days 23:12:00,1,0, 9, 10.0
