Market,Max Trades, IS,HO Return,HO Sharpe Ratio,HO Win Rate,OOS,Total Trades,Total Profit, Avg Profit, Drawdown, Wins, Draws, Loses, Win Rate, Win Day,Avg Duration, Avg Dur_Win, Avg Dur_Lose, Market Change, Left total trades, Left avg profit, Left total profit, Left avg duration, Left win, Left draws, Left lose, Left Win Rate 
USDT200, 5,20210701_20211001,63.18%,5.25368,98/10/93, 20211001_20211101,73,-5.91%,-0.36, 60.44%,32, 3, 38, 43.8,12/2/14,17:54:00, 12:43:00, 19:27:00,41.38%,1,9.95, 1.84, 3:00:00,1,0, 0, 100
USDT200, 5,20210601_20210901,63.36%,6.76694,34/39/2, 20210901_20211001,19,-0.36%,0.11, 76.93%,11, 4, 4, 57.9,6/11/2,1 day 0:38:00, 10:22:00, 2 days 22:00:00,-5.24%,0,0.00, 0.00, 0:00,0,0, 0, 0
USDT200, 5,20210501_20210801,127.78%,5.92011,56/23/4, 20210801_20210901,25,13.23%,2.52, 6.98%,9, 15, 1, 36.0,8/21/1,1 day 17:46:00, 22:07:00, 19:00:00,49.85%,1,-6.98, -1.60, 19:00:00,0,0, 1, 0
USDT200, 5,20210401_20210701,84.37%,4.93209,64/12/22, 20210701_20210801,27,7.52%,1.46, 36.55%,16, 5, 6, 59.3,9/17/5,1 day 2:24:00, 15:34:00, 1 day 21:20:00,29.49%,1,-1.50, -0.32, 13:00:00,0,0, 1, 0
USDT200, 5,20210301_20210601,526.75%,7.42177,285/0/307, 20210601_20210701,95,-9.93%,-0.48, 136.47%,33, 0, 62, 34.7,8/10/12,8:46:00, 9:45:00, 8:15:00,-10.66%,3,4.01, 2.12, 1:40:00,3,0, 0, 100
USDT200, 5,20210201_20210501,556.81%,9.62334,139/119/11, 20210501_20210601,88,-42.14%,-2.17, 379.87%,33, 36, 19, 37.5,18/8/5,1 day 16:06:00, 16:44:00, 3 days 8:44:00,-24.04%,5,-8.35, -5.26, 4 days 19:48:00,0,0, 5, 0
USDT200, 5,20210101_20210401,2054.77%,10.62858,166/77/15, 20210401_20210501,59,28.51%,2.25, 163.66%,31, 20, 8, 52.5,11/14/5,1 day 5:37:00, 8:08:00, 1 day 23:38:00,59.77%,1,-1.39, -0.36, 3:00:00,0,0, 1, 0
USDT200, 5,20201201_20210301,697.28%,9.27814,101/78/9, 20210301_20210401,78,95.21%,4.44, 46.47%,36, 35, 7, 46.2,17/9/4,1 day 14:46:00, 11:20:00, 2 days 2:09:00,115.53%,5,-8.74, -18.38, 1 day 16:36:00,1,0, 4, 20.0
USDT200, 5,20201101_20210201,256.92%,9.63299,114/91/7, 20210201_20210301,92,11.13%,0.95, 171.95%,50, 30, 12, 54.3,18/4/5,1 day 8:25:00, 13:40:00, 3 days 3:20:00,99.96%,5,-14.00, -19.20, 3 days 15:00:00,0,0, 5, 0
USDT200, 5,20201001_20210101,60.62%,7.31421,74/78/7, 20210101_20210201,70,28.34%,1.90, 76.77%,43, 20, 7, 61.4,15/16/1,2 days 3:34:00, 11:59:00, 8 days 0:17:00,92.0%,5,-15.35, -22.67, 11 days 5:12:00,0,0, 5, 0
USDT200, 5,20200901_20201201,51.84%,5.59261,52/24/5, 20201201_20210101,39,-13.36%,-1.54, 117.74%,18, 9, 12, 46.2,12/11/7,1 day 16:17:00, 16:03:00, 2 days 19:55:00,29.53%,3,-7.40, -4.10, 5 days 1:40:00,0,0, 3, 0
USDT200, 5,20200801_20201101,23.35%,2.57605,69/104/10, 20201101_20201201,96,29.21%,1.36, 27.68%,48, 44, 4, 50.0,17/13/1,1 day 12:24:00, 12:54:00, 6 days 15:15:00,44.57%,5,-5.01, -6.73, 5 days 9:24:00,1,0, 4, 20.0
USDT200, 5,20200701_20201001,33.09%,4.95420,34/24/3, 20201001_20201101,23,-6.6%,-1.35, 66.21%,8, 10, 5, 34.8,7/21/2,4 days 8:08:00, 17:00:00, 11 days 22:24:00,-8.55%,4,-10.07, -8.31, 13 days 17:30:00,0,0, 4, 0
USDT200, 5,20200601_20200901,67.10%,8.88373,73/41/6, 20200901_20201001,55,-24.14%,-2.08, 172.92%,28, 14, 13, 50.9,15/11/5,2 days 15:45:00, 16:04:00, 6 days 7:09:00,-17.22%,5,-3.91, -3.18, 11 days 5:00:00,0,0, 5, 0
USDT200, 5,20200501_20200801,54.54%,10.58537,57/50/3, 20200801_20200901,54,23.36%,1.90, 78.53%,34, 14, 6, 63.0,22/8/2,2 days 19:52:00, 20:56:00, 13 days 11:10:00,31.25%,5,-10.51, -13.74, 12 days 12:24:00,0,0, 5, 0
USDT200, 5,20200401_20200701,65.60%,6.62435,60/57/5, 20200701_20200801,56,30.47%,2.42, 32.44%,35, 18, 3, 62.5,19/11/1,2 days 16:18:00, 1 day 6:07:00, 12 days 2:00:00,30.83%,5,-4.68, -5.58, 7 days 19:36:00,3,0, 2, 60.0
USDT200, 5,20200301_20200601,65.27%,6.14318,48/36/7, 20200601_20200701,15,-10.45%,-3.57, 72.02%,5, 4, 6, 33.3,2/23/5,2 days 14:44:00, 6:48:00, 5 days 17:20:00,-6.2%,1,-22.03, -4.24, 11 days 23:00:00,0,0, 1, 0
USDT200, 5,20200201_20200501,41.40%,4.74810,58/35/21, 20200501_20200601,26,2.06%,0.43, 25.18%,9, 8, 9, 34.6,7/18/7,1 day 0:09:00, 9:20:00, 8:07:00,23.06%,3,-6.64, -4.25, 10:00:00,0,0, 3, 0
USDT200, 5,20200101_20200401,67.05%,5.21607,86/54/14, 20200401_20200501,71,26.12%,1.68, 33.11%,37, 25, 9, 52.1,16/12/2,1 day 4:18:00, 16:47:00, 21:33:00,37.8%,5,-6.62, -8.83, 23:24:00,0,0, 5, 0
USDT200, 5,20191201_20200301,59.95%,5.25176,69/36/10, 20200301_20200401,25,-16.45%,-3.24, 117.93%,13, 2, 10, 52.0,5/19/4,1 day 2:29:00, 17:23:00, 1 day 8:00:00,-36.31%,0,0.00, 0.00, 0:00,0,0, 0, 0
USDT200, 5,20191101_20200201,25.55%,6.06194,17/12/0, 20200201_20200301,12,-10.49%,-3.70, 130.37%,5, 3, 4, 41.7,3/17/4,3 days 0:35:00, 10:48:00, 6 days 5:15:00,8.12%,0,0.00, 0.00, 0:00,0,0, 0, 0
USDT200, 5,20191001_20200101,27.88%,3.79525,28/20/9, 20200101_20200201,28,7.29%,1.33, 35.22%,13, 9, 6, 46.4,9/13/4,1 day 5:43:00, 20:23:00, 1 day 14:40:00,37.39%,0,0.00, 0.00, 0:00,0,0, 0, 0
USDT200, 5,20190901_20191201,10.03%,3.73741,33/0/20, 20191201_20200101,15,1.51%,0.50, 3.19%,9, 1, 5, 60.0,6/14/4,14:40:00, 7:53:00, 5:24:00,-13.32%,0,0.00, 0.00, 0:00,0,0, 0, 0
USDT200, 5,20190801_20191101,17.61%,3.95528,24/17/6, 20191101_20191201,22,-14.45%,-3.30, 106.78%,9, 2, 11, 40.9,4/17/7,1 day 14:22:00, 22:40:00, 1 day 23:22:00,-4.11%,1,-4.01, -0.69, 17:00:00,0,0, 1, 0
USDT200, 10,20210701_20211001,33.38%,6.72079,43/37/2, 20211001_20211101,41,3.0%,0.78, 75.84%,20, 10, 11, 48.8,11/13/4,2 days 17:07:00, 14:09:00, 5 days 4:05:00,41.38%,6,-5.25, -3.43, 21:10:00,1,0, 5, 16.7
USDT200, 10,20210601_20210901,29.27%,5.71698,41/45/3, 20210901_20211001,18,-8.77%,-4.70, 155.25%,9, 3, 6, 50.0,6/13/2,1 day 14:33:00, 10:33:00, 3 days 4:20:00,-5.24%,0,0.00, 0.00, 0:00,0,0, 0, 0
USDT200, 10,20210501_20210801,53.92%,5.97883,166/68/13, 20210801_20210901,73,14.29%,1.84, 14.02%,36, 36, 1, 49.3,15/16/1,1 day 4:46:00, 6:23:00, 10:00:00,49.85%,1,-14.02, -1.63, 10:00:00,0,0, 1, 0
USDT200, 10,20210401_20210701,54.79%,4.97798,144/17/15, 20210701_20210801,44,8.58%,1.86, 65.27%,32, 9, 3, 72.7,12/15/2,1 day 10:46:00, 7:32:00, 9 days 7:20:00,29.49%,1,-1.93, -0.21, 11:00:00,0,0, 1, 0
USDT200, 10,20210301_20210601,112.70%,6.83003,138/68/17, 20210601_20210701,58,10.81%,1.77, 64.34%,27, 26, 5, 46.6,9/18/3,1 day 6:03:00, 10:07:00, 5 days 8:12:00,-10.66%,5,-2.87, -1.58, 19:48:00,2,0, 3, 40.0
USDT200, 10,20210201_20210501,854.64%,10.62728,634/2/986, 20210501_20210601,538,0.25%,0.12, 374.05%,173, 0, 365, 32.2,14/0/18,9:51:00, 15:15:00, 7:18:00,-24.04%,9,4.83, 4.01, 10:53:00,8,0, 1, 88.9
USDT200, 10,20210101_20210401,1494.78%,13.36772,812/0/964, 20210401_20210501,576,65.16%,0.95, 276.61%,237, 0, 339, 41.1,21/0/10,10:21:00, 12:14:00, 9:02:00,59.77%,7,3.94, 4.40, 12:26:00,7,0, 0, 100
USDT200, 10,20201201_20210301,1068.23%,10.26284,740/1/879, 20210301_20210401,573,216.41%,2.07, 86.66%,257, 1, 315, 44.9,28/0/4,11:06:00, 11:35:00, 10:36:00,115.53%,8,1.14, 2.84, 5:22:00,5,0, 3, 62.5
USDT200, 10,20201101_20210201,109.42%,8.45151,170/84/38, 20210201_20210301,139,38.22%,2.47, 204.82%,90, 22, 27, 64.7,19/6/4,22:33:00, 11:09:00, 1 day 6:51:00,99.96%,1,-7.60, -1.10, 1 day 14:00:00,0,0, 1, 0
USDT200, 10,20201001_20210101,89.85%,7.04663,170/144/25, 20210101_20210201,139,33.24%,2.15, 184.31%,71, 40, 28, 51.1,24/4/4,1 day 23:19:00, 12:14:00, 3 days 20:32:00,92.0%,10,-10.56, -14.26, 6 days 9:54:00,0,0, 10, 0
USDT200, 10,20200901_20201201,37.75%,5.14234,110/118/10, 20201201_20210101,115,-0.97%,-0.02, 167.8%,52, 44, 19, 45.2,16/5/10,1 day 13:25:00, 8:44:00, 5 days 1:35:00,29.53%,7,-3.35, -2.52, 3 days 3:00:00,2,0, 5, 28.6
